index,value
399,708.18292
400,708.00293
401,707.82294
402,707.64294
403,707.46295
404,707.28296
405,707.10297
406,706.92297
407,706.74298
408,706.56299
409,706.38300
410,706.20300
411,706.02301
412,705.84302
413,705.66302
414,705.48303
415,705.30304
416,705.12305
417,704.94305
418,704.76306
419,704.58307
420,704.40308
421,704.22308
422,704.04309
423,703.86310
424,703.68311
425,703.50311
426,703.32312
427,703.14313
428,702.96313
429,702.78314
430,702.60315
431,702.42316
432,702.24316
433,702.06317
434,701.88318
435,701.70319
436,701.52319
437,701.34320
438,701.16321
439,700.98322
440,700.80322
441,700.62323
442,700.44324
443,700.26324
444,700.08325
445,699.90326
446,699.72327
447,699.54327
448,699.36328
449,699.18329
450,699.00330
451,698.82330
452,698.64331
453,698.46332
454,698.28333
455,698.10333
456,697.92334
457,697.74335
458,697.56335
459,697.38336
460,697.20337
461,697.02338
462,696.84338
463,696.66339
464,696.48340
465,696.30341
466,696.12341
467,695.94342
468,695.76343
469,695.58344
470,695.40344
471,695.22345
472,695.04346
473,694.86346
474,694.68347
475,694.50348
476,694.32349
477,694.14349
478,693.96350
479,693.78351
480,693.60352
481,693.42352
482,693.24353
483,693.06354
484,692.88354
485,692.70355
486,692.52356
487,692.34357
488,692.16357
489,691.98358
490,691.80359
491,691.62360
492,691.44360
493,691.26361
494,691.08362
495,690.90363
496,690.72363
497,690.54364
498,690.36365
499,690.18365
500,690.00366
501,689.82367
502,689.64368
503,689.46368
504,689.28369
505,689.10370
506,688.92371
507,688.74371
508,688.56372
509,688.38373
510,688.20374
511,688.02374
512,687.84375
513,687.66376
514,687.48376
515,687.30377
516,687.12378
517,686.94379
518,686.76379
519,686.58380
520,686.40381
521,686.22382
522,686.04382
523,685.86383
524,685.68384
525,685.50385
526,685.32385
527,685.14386
528,684.96387
529,684.78387
530,684.60388
531,684.42389
532,684.24390
533,684.06390
534,683.88391
535,683.70392
536,683.52393
537,683.34393
538,683.16394
539,682.98395
540,682.80396
541,682.62396
542,682.44397
543,682.26398
544,682.08398
545,681.90399
546,681.72400
547,681.54401
548,681.36401
549,681.18402
550,681.00403
551,680.82404
552,680.64404
553,680.46405
554,680.28406
555,680.10406
556,679.92407
557,679.74408
558,679.56409
559,679.38409
560,679.20410
561,679.02411
562,678.84412
563,678.66412
564,678.48413
565,678.30414
566,678.12415
567,677.94415
568,677.76416
569,677.58417
570,677.40417
571,677.22418
572,677.04419
573,676.86420
574,676.68420
575,676.50421
576,676.32422
577,676.14423
578,675.96423
579,675.78424
580,675.60425
581,675.42426
582,675.24426
583,675.06427
584,674.88428
585,674.70428
586,674.52429
587,674.34430
588,674.16431
589,673.98431
590,673.80432
591,673.62433
592,673.44434
593,673.26434
594,673.08435
595,672.90436
596,672.72437
597,672.54437
598,672.36438
599,672.18439
600,672.00439
601,671.82440
602,671.64441
603,671.46442
604,671.28442
605,671.10443
606,670.92444
607,670.74445
608,670.56445
609,670.38446
610,670.20447
611,670.02448
612,669.84448
613,669.66449
614,669.48450
615,669.30450
616,669.12451
617,668.94452
618,668.76453
619,668.58453
620,668.40454
621,668.22455
622,668.04456
623,667.86456
624,667.68457
625,667.50458
626,667.32458
627,667.14459
628,666.96460
629,666.78461
630,666.60461
631,666.42462
632,666.24463
633,666.06464
634,665.88464
635,665.70465
636,665.52466
637,665.34467
638,665.16467
639,664.98468
640,664.80469
641,664.62469
642,664.44470
643,664.26471
644,664.08472
645,663.90472
646,663.72473
647,663.54474
648,663.36475
649,663.18475
650,663.00476
651,662.82477
652,662.64478
653,662.46478
654,662.28479
655,662.10480
656,661.92480
657,661.74481
658,661.56482
659,661.38483
660,661.20483
661,661.02484
662,660.84485
663,660.66486
664,660.48486
665,660.30487
666,660.12488
667,659.94489
668,659.76489
669,659.58490
670,659.40491
671,659.22491
672,659.04492
673,658.86493
674,658.68494
675,658.50494
676,658.32495
677,658.14496
678,657.96497
679,657.78497
680,657.60498
681,657.42499
682,657.24500
683,657.06500
684,656.88501
685,656.70502
686,656.52502
687,656.34503
688,656.16504
689,655.98505
690,655.80505
691,655.62506
692,655.44507
693,655.26508
694,655.08508
695,654.90509
696,654.72510
697,654.54510
698,654.36511
699,654.18512
700,654.00513
701,653.82513
702,653.64514
703,653.46515
704,653.28516
705,653.10516
706,652.92517
707,652.74518
708,652.56519
709,652.38519
710,652.20520
711,652.02521
712,651.84521
713,651.66522
714,651.48523
715,651.30524
716,651.12524
717,650.94525
718,650.76526
719,650.58527
720,650.40527
721,650.22528
722,650.04529
723,649.86530
724,649.68530
725,649.50531
726,649.32532
727,649.14532
728,648.96533
729,648.78534
730,648.60535
731,648.42535
732,648.24536
733,648.06537
734,647.88538
735,647.70538
736,647.52539
737,647.34540
738,647.16541
739,646.98541
740,646.80542
741,646.62543
742,646.44543
743,646.26544
744,646.08545
745,645.90546
746,645.72546
747,645.54547
748,645.36548
749,645.18549
750,645.00549
751,644.82550
752,644.64551
753,644.46552
754,644.28552
755,644.10553
756,643.92554
757,643.74554
758,643.56555
759,643.38556
760,643.20557
761,643.02557
762,642.84558
763,642.66559
764,642.48560
765,642.30560
766,642.12561
767,641.94562
768,641.76563
769,641.58563
770,641.40564
771,641.22565
772,641.04565
773,640.86566
774,640.68567
775,640.50568
776,640.32568
777,640.14569
778,639.96570
779,639.78571
780,639.60571
781,639.42572
782,639.24573
783,639.06573
784,638.88574
785,638.70575
786,638.52576
787,638.34576
788,638.16577
789,637.98578
790,637.80579
791,637.62579
792,637.44580
793,637.26581
794,637.08582
795,636.90582
796,636.72583
797,636.54584
798,636.36584
799,636.18585
800,636.00586
801,635.82587
802,635.64587
803,635.46588
804,635.28589
805,635.10590
806,634.92590
807,634.74591
808,634.56592
809,634.38593
810,634.20593
811,634.02594
812,633.84595
813,633.66595
814,633.48596
815,633.30597
816,633.12598
817,632.94598
818,632.76599
819,632.58600
820,632.40601
821,632.22601
822,632.04602
823,631.86603
824,631.68604
825,631.50604
826,631.32605
827,631.14606
828,630.96606
829,630.78607
830,630.60608
831,630.42609
832,630.24609
833,630.06610
834,629.88611
835,629.70612
836,629.52612
837,629.34613
838,629.16614
839,628.98615
840,628.80615
841,628.62616
842,628.44617
843,628.26617
844,628.08618
845,627.90619
846,627.72620
847,627.54620
848,627.36621
849,627.18622
850,627.00623
851,626.82623
852,626.64624
853,626.46625
854,626.28625
855,626.10626
856,625.92627
857,625.74628
858,625.56628
859,625.38629
860,625.20630
861,625.02631
862,624.84631
863,624.66632
864,624.48633
865,624.30634
866,624.12634
867,623.94635
868,623.76636
869,623.58636
870,623.40637
871,623.22638
872,623.04639
873,622.86639
874,622.68640
875,622.50641
876,622.32642
877,622.14642
878,621.96643
879,621.78644
880,621.60645
881,621.42645
882,621.24646
883,621.06647
884,620.88647
885,620.70648
886,620.52649
887,620.34650
888,620.16650
889,619.98651
890,619.80652
891,619.62653
892,619.44653
893,619.26654
894,619.08655
895,618.90656
896,618.72656
897,618.54657
898,618.36658
899,618.18658
900,618.00659
901,617.82660
902,617.64661
903,617.46661
904,617.28662
905,617.10663
906,616.92664
907,616.74664
908,616.56665
909,616.38666
910,616.20667
911,616.02667
912,615.84668
913,615.66669
914,615.48669
915,615.30670
916,615.12671
917,614.94672
918,614.76672
919,614.58673
920,614.40674
921,614.22675
922,614.04675
923,613.86676
924,613.68677
925,613.50677
926,613.32678
927,613.14679
928,612.96680
929,612.78680
930,612.60681
931,612.42682
932,612.24683
933,612.06683
934,611.88684
935,611.70685
936,611.52686
937,611.34686
938,611.16687
939,610.98688
940,610.80688
941,610.62689
942,610.44690
943,610.26691
944,610.08691
945,609.90692
946,609.72693
947,609.54694
948,609.36694
949,609.18695
950,609.00696
951,608.82697
952,608.64697
953,608.46698
954,608.28699
955,608.10699
956,607.92700
957,607.74701
958,607.56702
959,607.38702
960,607.20703
961,607.02704
962,606.84705
963,606.66705
964,606.48706
965,606.30707
966,606.12708
967,605.94708
968,605.76709
969,605.58710
970,605.40710
971,605.22711
972,605.04712
973,604.86713
974,604.68713
975,604.50714
976,604.32715
977,604.14716
978,603.96716
979,603.78717
980,603.60718
981,603.42719
982,603.24719
983,603.06720
984,602.88721
985,602.70721
986,602.52722
987,602.34723
988,602.16724
989,601.98724
990,601.80725
991,601.62726
992,601.44727
993,601.26727
994,601.08728
995,600.90729
996,600.72729
997,600.54730
998,600.36731
999,600.18732
1000,600.00732
1001,599.82733
1002,599.64734
1003,599.46735
1004,599.28735
1005,599.10736
1006,598.92737
1007,598.74738
1008,598.56738
1009,598.38739
1010,598.20740
1011,598.02740
1012,597.84741
1013,597.66742
1014,597.48743
1015,597.30743
1016,597.12744
1017,596.94745
1018,596.76746
1019,596.58746
1020,596.40747
1021,596.22748
1022,596.04749
1023,595.86749
1024,595.68750
1025,595.50751
1026,595.32751
1027,595.14752
1028,594.96753
1029,594.78754
1030,594.60754
1031,594.42755
1032,594.24756
1033,594.06757
1034,593.88757
1035,593.70758
1036,593.52759
1037,593.34760
1038,593.16760
1039,592.98761
1040,592.80762
1041,592.62762
1042,592.44763
1043,592.26764
1044,592.08765
1045,591.90765
1046,591.72766
1047,591.54767
1048,591.36768
1049,591.18768
1050,591.00769
1051,590.82770
1052,590.64771
1053,590.46771
1054,590.28772
1055,590.10773
1056,589.92773
1057,589.74774
1058,589.56775
1059,589.38776
1060,589.20776
1061,589.02777
1062,588.84778
1063,588.66779
1064,588.48779
1065,588.30780
1066,588.12781
1067,587.94781
1068,587.76782
1069,587.58783
1070,587.40784
1071,587.22784
1072,587.04785
1073,586.86786
1074,586.68787
1075,586.50787
1076,586.32788
1077,586.14789
1078,585.96790
1079,585.78790
1080,585.60791
1081,585.42792
1082,585.24792
1083,585.06793
1084,584.88794
1085,584.70795
1086,584.52795
1087,584.34796
1088,584.16797
1089,583.98798
1090,583.80798
1091,583.62799
1092,583.44800
1093,583.26801
1094,583.08801
1095,582.90802
1096,582.72803
1097,582.54803
1098,582.36804
1099,582.18805
1100,582.00806
1101,581.82806
1102,581.64807
1103,581.46808
1104,581.28809
1105,581.10809
1106,580.92810
1107,580.74811
1108,580.56812
1109,580.38812
1110,580.20813
1111,580.02814
1112,579.84814
1113,579.66815
1114,579.48816
1115,579.30817
1116,579.12817
1117,578.94818
1118,578.76819
1119,578.58820
1120,578.40820
1121,578.22821
1122,578.04822
1123,577.86823
1124,577.68823
1125,577.50824
1126,577.32825
1127,577.14825
1128,576.96826
1129,576.78827
1130,576.60828
1131,576.42828
1132,576.24829
1133,576.06830
1134,575.88831
1135,575.70831
1136,575.52832
1137,575.34833
1138,575.16833
1139,574.98834
1140,574.80835
1141,574.62836
1142,574.44836
1143,574.26837
1144,574.08838
1145,573.90839
1146,573.72839
1147,573.54840
1148,573.36841
1149,573.18842
1150,573.00842
1151,572.82843
1152,572.64844
1153,572.46844
1154,572.28845
1155,572.10846
1156,571.92847
1157,571.74847
1158,571.56848
1159,571.38849
1160,571.20850
1161,571.02850
1162,570.84851
1163,570.66852
1164,570.48853
1165,570.30853
1166,570.12854
1167,569.94855
1168,569.76855
1169,569.58856
1170,569.40857
1171,569.22858
1172,569.04858
1173,568.86859
1174,568.68860
1175,568.50861
1176,568.32861
1177,568.14862
1178,567.96863
1179,567.78864
1180,567.60864
1181,567.42865
1182,567.24866
1183,567.06866
1184,566.88867
1185,566.70868
1186,566.52869
1187,566.34869
1188,566.16870
1189,565.98871
1190,565.80872
1191,565.62872
1192,565.44873
1193,565.26874
1194,565.08875
1195,564.90875
1196,564.72876
1197,564.54877
1198,564.36877
1199,564.18878
1200,564.00879
1201,563.82880
1202,563.64880
1203,563.46881
1204,563.28882
1205,563.10883
1206,562.92883
1207,562.74884
1208,562.56885
1209,562.38885
1210,562.20886
1211,562.02887
1212,561.84888
1213,561.66888
1214,561.48889
1215,561.30890
1216,561.12891
1217,560.94891
1218,560.76892
1219,560.58893
1220,560.40894
1221,560.22894
1222,560.04895
1223,559.86896
1224,559.68896
1225,559.50897
1226,559.32898
1227,559.14899
1228,558.96899
1229,558.78900
1230,558.60901
1231,558.42902
1232,558.24902
1233,558.06903
1234,557.88904
1235,557.70905
1236,557.52905
1237,557.34906
1238,557.16907
1239,556.98907
1240,556.80908
1241,556.62909
1242,556.44910
1243,556.26910
1244,556.08911
1245,555.90912
1246,555.72913
1247,555.54913
1248,555.36914
1249,555.18915
1250,555.00916
1251,554.82916
1252,554.64917
1253,554.46918
1254,554.28918
1255,554.10919
1256,553.92920
1257,553.74921
