index,value
456,574.79443
457,574.34442
458,573.89441
459,573.44440
460,572.99438
461,572.54437
462,572.09436
463,571.64435
464,571.19434
465,570.74432
466,570.29431
467,569.84430
468,569.39429
469,568.94427
470,568.49426
471,568.04425
472,567.59424
473,567.14423
474,566.69421
475,566.24420
476,565.79419
477,565.34418
478,564.89417
479,564.44415
480,563.99414
481,563.54413
482,563.09412
483,562.64410
484,562.19409
485,561.74408
486,561.29407
487,560.84406
488,560.39404
489,559.94403
490,559.49402
491,559.04401
492,558.59399
493,558.14398
494,557.69397
495,557.24396
496,556.79395
497,556.34393
498,555.89392
499,555.44391
500,554.99390
501,554.54388
502,554.09387
503,553.64386
504,553.19385
505,552.74384
506,552.29382
507,551.84381
508,551.39380
509,550.94379
510,550.49377
511,550.04376
512,549.59375
513,549.14374
514,548.69373
515,548.24371
516,547.79370
517,547.34369
518,546.89368
519,546.44366
520,545.99365
521,545.54364
522,545.09363
523,544.64362
524,544.19360
525,543.74359
526,543.29358
527,542.84357
528,542.39355
529,541.94354
530,541.49353
531,541.04352
532,540.59351
533,540.14349
534,539.69348
535,539.24347
536,538.79346
537,538.34344
538,537.89343
539,537.44342
540,536.99341
541,536.54340
542,536.09338
543,535.64337
544,535.19336
545,534.74335
546,534.29333
547,533.84332
548,533.39331
549,532.94330
550,532.49329
551,532.04327
552,531.59326
553,531.14325
554,530.69324
555,530.24323
556,529.79321
557,529.34320
558,528.89319
559,528.44318
560,527.99316
561,527.54315
562,527.09314
563,526.64313
564,526.19312
565,525.74310
566,525.29309
567,524.84308
568,524.39307
569,523.94305
570,523.49304
571,523.04303
572,522.59302
573,522.14301
574,521.69299
575,521.24298
576,520.79297
577,520.34296
578,519.89294
579,519.44293
580,518.99292
581,518.54291
582,518.09290
583,517.64288
584,517.19287
585,516.74286
586,516.29285
587,515.84283
588,515.39282
589,514.94281
590,514.49280
591,514.04279
592,513.59277
593,513.14276
594,512.69275
595,512.24274
596,511.79272
597,511.34271
598,510.89270
599,510.44269
600,509.99268
601,509.54266
602,509.09265
603,508.64264
604,508.19263
605,507.74261
606,507.29260
607,506.84259
608,506.39258
609,505.94257
610,505.49255
611,505.04254
612,504.59253
613,504.14252
614,503.69250
615,503.24249
616,502.79248
617,502.34247
618,501.89246
619,501.44244
620,500.99243
621,500.54242
622,500.09241
623,499.64240
624,499.19238
625,498.74237
626,498.29236
627,497.84235
628,497.39233
629,496.94232
630,496.49231
631,496.04230
632,495.59229
633,495.14227
634,494.69226
635,494.24225
636,493.79224
637,493.34222
638,492.89221
639,492.44220
640,491.99219
641,491.54218
642,491.09216
643,490.64215
644,490.19214
645,489.74213
646,489.29211
647,488.84210
648,488.39209
649,487.94208
650,487.49207
651,487.04205
652,486.59204
653,486.14203
654,485.69202
655,485.24200
656,484.79199
657,484.34198
658,483.89197
659,483.44196
660,482.99194
661,482.54193
662,482.09192
663,481.64191
664,481.19189
665,480.74188
666,480.29187
667,479.84186
668,479.39185
669,478.94183
670,478.49182
671,478.04181
672,477.59180
673,477.14178
674,476.69177
675,476.24176
676,475.79175
677,475.34174
678,474.89172
679,474.44171
680,473.99170
681,473.54169
682,473.09167
683,472.64166
684,472.19165
685,471.74164
686,471.29163
687,470.84161
688,470.39160
689,469.94159
690,469.49158
691,469.04156
692,468.59155
693,468.14154
694,467.69153
695,467.24152
696,466.79150
697,466.34149
698,465.89148
699,465.44147
700,464.99146
701,464.54144
702,464.09143
703,463.64142
704,463.19141
705,462.74139
706,462.29138
707,461.84137
708,461.39136
709,460.94135
710,460.49133
711,460.04132
712,459.59131
713,459.14130
714,458.69128
715,458.24127
716,457.79126
717,457.34125
718,456.89124
719,456.44122
720,455.99121
721,455.54120
722,455.09119
723,454.64117
724,454.19116
725,453.74115
726,453.29114
727,452.84113
728,452.39111
729,451.94110
730,451.49109
731,451.04108
732,450.59106
733,450.14105
734,449.69104
735,449.24103
736,448.79102
737,448.34100
738,447.89099
739,447.44098
740,446.99097
741,446.54095
742,446.09094
743,445.64093
744,445.19092
745,444.74091
746,444.29089
747,443.84088
748,443.39087
749,442.94086
750,442.49084
751,442.04083
752,441.59082
753,441.14081
754,440.69080
755,440.24078
756,439.79077
757,439.34076
758,438.89075
759,438.44073
760,437.99072
761,437.54071
762,437.09070
763,436.64069
764,436.19067
765,435.74066
766,435.29065
767,434.84064
768,434.39063
769,433.94061
770,433.49060
771,433.04059
772,432.59058
773,432.14056
774,431.69055
775,431.24054
776,430.79053
777,430.34052
778,429.89050
779,429.44049
780,428.99048
781,428.54047
782,428.09045
783,427.64044
784,427.19043
785,426.74042
786,426.29041
787,425.84039
788,425.39038
789,424.94037
790,424.49036
791,424.04034
792,423.59033
793,423.14032
794,422.69031
795,422.24030
796,421.79028
797,421.34027
798,420.89026
799,420.44025
800,419.99023
801,419.54022
802,419.09021
803,418.64020
804,418.19019
805,417.74017
806,417.29016
807,416.84015
808,416.39014
809,415.94012
810,415.49011
811,415.04010
812,414.59009
813,414.14008
814,413.69006
815,413.24005
816,412.79004
817,412.34003
818,411.89001
819,411.44000
820,410.98999
821,410.53998
822,410.08997
823,409.63995
824,409.18994
825,408.73993
826,408.28992
827,407.83990
828,407.38989
829,406.93988
830,406.48987
831,406.03986
832,405.58984
833,405.13983
834,404.68982
835,404.23981
836,403.78979
837,403.33978
838,402.88977
839,402.43976
840,401.98975
841,401.53973
842,401.08972
843,400.63971
844,400.18970
845,399.73969
846,399.28967
847,398.83966
848,398.38965
849,397.93964
850,397.48962
851,397.03961
852,396.58960
853,396.13959
854,395.68958
855,395.23956
856,394.78955
857,394.33954
858,393.88953
859,393.43951
860,392.98950
861,392.53949
862,392.08948
863,391.63947
864,391.18945
865,390.73944
866,390.28943
867,389.83942
868,389.38940
869,388.93939
870,388.48938
871,388.03937
872,387.58936
873,387.13934
874,386.68933
875,386.23932
876,385.78931
877,385.33929
878,384.88928
879,384.43927
880,383.98926
881,383.53925
882,383.08923
883,382.63922
884,382.18921
885,381.73920
886,381.28918
887,380.83917
888,380.38916
889,379.93915
890,379.48914
891,379.03912
892,378.58911
893,378.13910
894,377.68909
895,377.23907
896,376.78906
897,376.33905
898,375.88904
899,375.43903
900,374.98901
901,374.53900
902,374.08899
903,373.63898
904,373.18896
905,372.73895
906,372.28894
907,371.83893
908,371.38892
909,370.93890
910,370.48889
911,370.03888
912,369.58887
913,369.13885
914,368.68884
915,368.23883
916,367.78882
917,367.33881
918,366.88879
919,366.43878
920,365.98877
921,365.53876
922,365.08875
923,364.63873
924,364.18872
925,363.73871
926,363.28870
927,362.83868
928,362.38867
929,361.93866
930,361.48865
931,361.03864
932,360.58862
933,360.13861
934,359.68860
935,359.23859
936,358.78857
937,358.33856
938,357.88855
939,357.43854
940,356.98853
941,356.53851
942,356.08850
943,355.63849
944,355.18848
945,354.73846
946,354.28845
947,353.83844
948,353.38843
949,352.93842
950,352.48840
951,352.03839
952,351.58838
953,351.13837
954,350.68835
955,350.23834
956,349.78833
957,349.33832
958,348.88831
959,348.43829
960,347.98828
961,347.53827
962,347.08826
963,346.63824
964,346.18823
965,345.73822
966,345.28821
967,344.83820
968,344.38818
969,343.93817
970,343.48816
971,343.03815
972,342.58813
973,342.13812
974,341.68811
975,341.23810
976,340.78809
977,340.33807
978,339.88806
979,339.43805
980,338.98804
981,338.53802
982,338.08801
983,337.63800
984,337.18799
985,336.73798
986,336.28796
987,335.83795
988,335.38794
989,334.93793
990,334.48792
991,334.03790
992,333.58789
993,333.13788
994,332.68787
995,332.23785
996,331.78784
997,331.33783
998,330.88782
999,330.43781
1000,329.98779
1001,329.53778
1002,329.08777
1003,328.63776
1004,328.18774
1005,327.73773
1006,327.28772
1007,326.83771
1008,326.38770
1009,325.93768
1010,325.48767
1011,325.03766
1012,324.58765
1013,324.13763
1014,323.68762
1015,323.23761
1016,322.78760
1017,322.33759
1018,321.88757
1019,321.43756
1020,320.98755
1021,320.53754
1022,320.08752
1023,319.63751
1024,319.18750
1025,318.73749
1026,318.28748
1027,317.83746
1028,317.38745
1029,316.93744
1030,316.48743
1031,316.03741
1032,315.58740
1033,315.13739
1034,314.68738
1035,314.23737
1036,313.78735
1037,313.33734
1038,312.88733
1039,312.43732
1040,311.98730
1041,311.53729
1042,311.08728
1043,310.63727
1044,310.18726
1045,309.73724
1046,309.28723
1047,308.83722
1048,308.38721
1049,307.93719
1050,307.48718
1051,307.03717
1052,306.58716
1053,306.13715
1054,305.68713
1055,305.23712
1056,304.78711
1057,304.33710
1058,303.88708
1059,303.43707
1060,302.98706
1061,302.53705
1062,302.08704
1063,301.63702
1064,301.18701
1065,300.73700
1066,300.28699
1067,299.83698
1068,299.38696
1069,298.93695
1070,298.48694
1071,298.03693
1072,297.58691
1073,297.13690
1074,296.68689
1075,296.23688
1076,295.78687
1077,295.33685
1078,294.88684
1079,294.43683
1080,293.98682
1081,293.53680
1082,293.08679
1083,292.63678
1084,292.18677
1085,291.73676
1086,291.28674
1087,290.83673
1088,290.38672
1089,289.93671
1090,289.48669
1091,289.03668
1092,288.58667
1093,288.13666
1094,287.68665
1095,287.23663
1096,286.78662
1097,286.33661
1098,285.88660
1099,285.43658
1100,284.98657
1101,284.53656
1102,284.08655
1103,283.63654
1104,283.18652
1105,282.73651
1106,282.28650
1107,281.83649
1108,281.38647
1109,280.93646
1110,280.48645
1111,280.03644
1112,279.58643
1113,279.13641
1114,278.68640
1115,278.23639
1116,277.78638
1117,277.33636
1118,276.88635
1119,276.43634
1120,275.98633
1121,275.53632
1122,275.08630
1123,274.63629
1124,274.18628
1125,273.73627
1126,273.28625
1127,272.83624
1128,272.38623
1129,271.93622
1130,271.48621
1131,271.03619
1132,270.58618
1133,270.13617
1134,269.68616
1135,269.23615
1136,268.78613
1137,268.33612
1138,267.88611
1139,267.43610
1140,266.98608
1141,266.53607
1142,266.08606
1143,265.63605
1144,265.18604
1145,264.73602
1146,264.28601
1147,263.83600
1148,263.38599
1149,262.93597
1150,262.48596
1151,262.03595
1152,261.58594
1153,261.13593
1154,260.68591
1155,260.23590
1156,259.78589
1157,259.33588
1158,258.88586
1159,258.43585
1160,257.98584
1161,257.53583
1162,257.08582
1163,256.63580
1164,256.18579
1165,255.73579
1166,255.28580
1167,254.83580
1168,254.38580
1169,253.93581
1170,253.48581
1171,253.03581
1172,252.58582
1173,252.13582
1174,251.68582
1175,251.23582
1176,250.78583
1177,250.33583
1178,249.88583
1179,249.43584
1180,248.98584
1181,248.53584
1182,248.08585
1183,247.63585
1184,247.18585
1185,246.73586
1186,246.28586
1187,245.83586
1188,245.38586
1189,244.93587
1190,244.48587
1191,244.03587
1192,243.58588
1193,243.13588
1194,242.68588
1195,242.23589
1196,241.78589
1197,241.33589
1198,240.88589
1199,240.43590
1200,239.98590
1201,239.53590
1202,239.08591
1203,238.63591
1204,238.18591
1205,237.73592
1206,237.28592
1207,236.83592
1208,236.38593
1209,235.93593
1210,235.48593
1211,235.03593
1212,234.58594
1213,234.13594
1214,233.68594
1215,233.23595
1216,232.78595
1217,232.33595
1218,231.88596
1219,231.43596
1220,230.98596
1221,230.53596
1222,230.08597
1223,229.63597
1224,229.18597
1225,228.73598
1226,228.28598
1227,227.83598
1228,227.38599
1229,226.93599
1230,226.48599
1231,226.03600
1232,225.58600
1233,225.13600
1234,224.68600
1235,224.23601
1236,223.78601
1237,223.33601
1238,222.88602
1239,222.43602
1240,221.98602
1241,221.53603
1242,221.08603
1243,220.63603
1244,220.18604
1245,219.73604
1246,219.28604
1247,218.83604
1248,218.38605
1249,217.93605
1250,217.48605
1251,217.03606
1252,216.58606
1253,216.13606
1254,215.68607
1255,215.23607
1256,214.78607
1257,214.33607
1258,213.88608
1259,213.43608
1260,212.98608
1261,212.53609
1262,212.08609
1263,211.63609
1264,211.18610
1265,210.73610
1266,210.28610
1267,209.83611
1268,209.38611
1269,208.93611
1270,208.48611
1271,208.03612
1272,207.58612
1273,207.13612
1274,206.68613
1275,206.23613
1276,205.78613
1277,205.33614
1278,204.88614
1279,204.43614
1280,203.98615
1281,203.53615
1282,203.08615
1283,202.63615
1284,202.18616
1285,201.73616
1286,201.28616
1287,200.83617
1288,200.38617
1289,199.93617
1290,199.48618
1291,199.03618
1292,198.58618
1293,198.13618
1294,197.68619
1295,197.23619
1296,196.78619
1297,196.33620
1298,195.88620
1299,195.43620
1300,194.98621
1301,194.53621
1302,194.08621
1303,193.63622
1304,193.18622
1305,192.73622
1306,192.28622
1307,191.83623
1308,191.38623
1309,190.93623
1310,190.48624
1311,190.03624
1312,189.58624
1313,189.13625
1314,188.68625
1315,188.23625
1316,187.78625
1317,187.33626
1318,186.88626
1319,186.43626
1320,185.98627
1321,185.53627
1322,185.08627
1323,184.63628
1324,184.18628
1325,183.73628
1326,183.28629
1327,182.83629
1328,182.38629
1329,181.93629
1330,181.48630
1331,181.03630
1332,180.58630
1333,180.13631
1334,179.68631
1335,179.23631
1336,178.78632
1337,178.33632
1338,177.88632
1339,177.43633
1340,176.98633
1341,176.53633
1342,176.08633
1343,175.63634
1344,175.18634
1345,174.73634
1346,174.28635
1347,173.83635
1348,173.38635
1349,172.93636
1350,172.48636
1351,172.03636
1352,171.58636
1353,171.13637
1354,170.68637
1355,170.23637
1356,169.78638
1357,169.33638
1358,168.88638
1359,168.43639
1360,167.98639
1361,167.53639
1362,167.08640
1363,166.63640
1364,166.18640
1365,165.73640
1366,165.28641
1367,164.83641
1368,164.38641
1369,163.93642
1370,163.48642
1371,163.03642
1372,162.58643
1373,162.13643
1374,161.68643
1375,161.23643
1376,160.78644
1377,160.33644
1378,159.88644
1379,159.43645
1380,158.98645
1381,158.53645
1382,158.08646
1383,157.63646
1384,157.18646
1385,156.73647
1386,156.28647
1387,155.83647
1388,155.38647
1389,154.93648
1390,154.48648
1391,154.03648
1392,153.58649
1393,153.13649
1394,152.68649
1395,152.23650
1396,151.78650
1397,151.33650
1398,150.88651
1399,150.43651
1400,149.98651
1401,149.53651
1402,149.08652
1403,148.63652
1404,148.18652
1405,147.73653
1406,147.28653
1407,146.83653
1408,146.38654
1409,145.93654
1410,145.48654
1411,145.03654
1412,144.58655
1413,144.13655
1414,143.68655
1415,143.23656
1416,142.78656
1417,142.33656
1418,141.88657
1419,141.43657
1420,140.98657
1421,140.53658
1422,140.08658
1423,139.63658
1424,139.18658
1425,138.73659
1426,138.28659
1427,137.83659
1428,137.38660
1429,136.93660
