index,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21
0,819,819,819,800,879,819,819,819,819,819,859,809,819,859,819,819,819,859,819,819,834,854
1,818.8673706,818.8673706,818.9051514,799.7404785,878.6939087,818.9560547,818.8673706,818.2554932,819,818.6934204,858.6934204,808.75,818.7072754,858.7072754,819,818.7700195,818.3400269,858.3400269,818.5499878,818.788147,833.7700195,853.8079224
2,818.7347412,818.7346802,818.8103027,799.480957,878.3878174,818.9121094,818.7347412,817.5109863,819,818.3868408,858.3868408,808.5,818.4145508,858.4145508,819,818.5400391,817.6800537,857.6800537,818.0999756,818.5762939,833.5400391,853.6158447
3,818.6021118,818.6009521,818.7149048,799.2214355,878.0817261,818.8681641,818.6021118,816.7664795,819,818.0802612,858.0802612,808.25,818.1218262,858.1218262,819,818.3100586,817.0200806,857.0200806,817.6499634,818.3644409,833.3100586,853.4237671
4,818.4694824,818.4636841,818.6190186,798.9619141,877.7756348,818.8242188,818.4694824,816.0219727,819,817.7736816,857.7736816,808,817.8291016,857.8291016,818.8308105,818.0800781,816.3601074,856.3601074,817.1999512,818.1260986,833.0800781,853.2316895
5,818.336853,818.3209839,818.5222778,798.7023926,877.4695435,818.7802734,818.336853,815.2774658,819,817.4671021,857.4671021,807.75,817.536377,857.536377,818.6616211,817.8500977,815.7001343,855.7001343,816.749939,817.8877563,832.8500977,853.0396118
6,818.2042236,818.1748047,818.4193726,798.4628906,877.1252441,818.7363281,818.2042236,814.532959,819,817.1413574,857.1413574,807.5,817.2436523,857.2436523,818.4924316,817.6201172,815.0401611,855.0401611,816.2999268,817.6494141,832.6201172,852.8475342
7,818.0715942,818.0366211,818.3233643,798.2233887,876.7809448,818.6923828,818.0715942,813.7884521,819,816.8156128,856.8156128,807.25,816.9509277,856.9509277,818.3232422,817.3901367,814.380188,854.380188,815.8499146,817.4110718,832.3901367,852.6554565
8,817.9389648,817.8857422,818.2124634,797.9838867,876.4561768,818.6484375,817.9389648,813.0439453,819,816.4898682,856.4898682,807,816.6848145,856.6848145,818.1540527,817.1601563,813.7202148,853.7202148,815.3999023,817.1992188,832.1601563,852.4633789
9,817.8063354,817.7202148,818.1079102,797.7443848,876.1478271,818.6044922,817.8063354,812.2994385,818.1599731,816.1641235,856.1641235,806.75,816.4187012,856.4187012,817.9848633,816.9301758,813.0602417,853.0602417,814.9498901,816.9873657,831.9301758,852.2713013
10,817.6820679,817.552063,817.9979858,797.5048828,875.8394775,818.5605469,817.6820679,811.5549316,817.3199463,815.8383789,855.8383789,806.5,816.1525879,856.1525879,817.8156738,816.7001953,812.4002686,852.4002686,814.4998779,816.7755127,831.7001953,852.0792236
11,817.5594482,817.4055176,817.8934326,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,806.25,815.8864746,855.8864746,817.6464844,816.4702148,811.7402954,851.7402954,814.0498657,816.5636597,831.4702148,851.887146
12,817.4368286,817.2537842,817.7870483,796.9858398,875.2227783,818.4726563,817.4368286,810.065918,815.6398926,815.1868896,855.1868896,806,815.59375,855.59375,817.4490967,816.2402344,811.0803223,851.0803223,813.5998535,816.3518066,831.2402344,851.6950684
13,817.314209,817.1135254,817.6730957,796.7263184,874.9144287,818.4287109,817.314209,809.3214111,814.8239136,814.861145,854.861145,805.75,815.3010254,855.3010254,817.251709,816.0102539,810.4203491,850.4203491,813.1498413,816.1399536,831.0102539,851.5029907
14,817.1915894,816.9658813,817.5725708,796.4667969,874.5675659,818.3847656,817.1915894,808.5769043,814.0079346,814.5354004,854.5354004,805.5,815.0083008,855.0083008,817.0543213,815.7802734,809.760376,849.760376,812.6998291,815.9281006,830.7802734,851.3109131
15,817.0689697,816.824646,817.4527588,796.2072754,874.2207031,818.3408203,817.0689697,807.8323975,813.1919556,814.2096558,854.2096558,805.25,814.7155762,854.7155762,816.0391235,815.550293,809.1004028,849.1004028,812.2498169,815.7162476,830.550293,851.1188354
16,816.9463501,816.6707153,817.3449707,795.9477539,873.9123535,818.296875,816.9463501,807.0878906,812.3759766,813.8839111,853.8839111,805,813.9703979,853.9703979,815.0239258,815.3203125,808.4404297,848.4404297,811.7998047,814.9483032,830.3203125,850.9267578
17,816.8237305,816.4974976,817.2493286,795.6882324,873.6040039,818.2529297,816.8237305,806.994812,811.5599976,813.5773315,853.5773315,804.75,813.2252197,853.2252197,814.008728,815.090332,807.7804565,847.7804565,811.3497925,814.1803589,830.090332,850.7346802
18,816.7011108,816.3105469,817.1258545,795.4287109,873.2956543,818.2089844,816.7011108,806.9017334,810.7440186,813.270752,853.270752,804.5,812.4800415,852.4800415,812.9935303,814.8603516,807.1204834,847.1204834,810.8997803,813.4124146,829.8603516,850.5426025
19,816.5784912,816.1347656,817.0129395,795.1691895,872.9873047,818.1650391,816.5784912,806.8086548,809.9280396,812.9641724,852.9641724,804.25,811.7348633,851.7348633,811.9783325,814.6303711,806.4605103,846.4605103,810.4497681,812.6444702,829.6303711,850.3505249
