index,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21
0,819.0000000000,819.0000000000,819.0000000000,800.0000000000,879.0000000000,819.0000000000,819.0000000000,819.0000000000,819.0000000000,819.0000000000,859.0000000000,809.0000000000,819.0000000000,859.0000000000,819.0000000000,819.0000000000,819.0000000000,859.0000000000,819.0000000000,819.0000000000,834.0000000000,854.0000000000
1,818.8673706055,818.8673706055,818.9051513672,799.7404785156,878.6939086914,818.9560546875,818.8673706055,818.2554931641,819.0000000000,818.6934204102,858.6934204102,808.7500000000,818.7072753906,858.7072753906,819.0000000000,818.7700195313,818.3400268555,858.3400268555,818.5499877930,818.7881469727,833.7700195313,853.8079223633
2,818.7347412109,818.7347412109,818.8103027344,799.4809570313,878.3878173828,818.9121093750,818.7347412109,817.5109863281,819.0000000000,818.3868408203,858.3868408203,808.5000000000,818.4145507813,858.4145507813,819.0000000000,818.5400390625,817.6800537109,857.6800537109,818.0999755859,818.5762939453,833.5400390625,853.6158447266
3,818.6021118164,818.6014404297,818.7153320313,799.2214355469,878.0817260742,818.8681640625,818.6021118164,816.7664794922,819.0000000000,818.0802612305,858.0802612305,808.2500000000,818.1218261719,858.1218261719,819.0000000000,818.3100585938,817.0200805664,857.0200805664,817.6499633789,818.3644409180,833.3100585938,853.4237670898
4,818.4694824219,818.4663085938,818.6189575195,798.9619140625,877.7756347656,818.8242187500,818.4694824219,816.0219726563,819.0000000000,817.7736816406,857.7736816406,808.0000000000,817.8291015625,857.8291015625,818.8308105469,818.0800781250,816.3601074219,856.3601074219,817.1999511719,818.1260986328,833.0800781250,853.2316894531
5,818.3368530273,818.3268432617,818.5215454102,798.7023925781,877.4695434570,818.7802734375,818.3368530273,815.2774658203,819.0000000000,817.4671020508,857.4671020508,807.7500000000,817.5363769531,857.5363769531,818.6616210938,817.8500976563,815.7001342773,855.7001342773,816.7499389648,817.8877563477,832.8500976563,853.0396118164
6,818.2042236328,818.1907348633,818.4236450195,798.4628906250,877.1252441406,818.7363281250,818.2042236328,814.5329589844,819.0000000000,817.1413574219,857.1413574219,807.5000000000,817.2436523438,857.2436523438,818.4924316406,817.6201171875,815.0401611328,855.0401611328,816.2999267578,817.6494140625,832.6201171875,852.8475341797
7,818.0715942383,818.0266723633,818.3190307617,798.2233886719,876.7809448242,818.6923828125,818.0715942383,813.7884521484,819.0000000000,816.8156127930,856.8156127930,807.2500000000,816.9509277344,856.9509277344,818.3232421875,817.3901367188,814.3801879883,854.3801879883,815.8499145508,817.4110717773,832.3901367188,852.6554565430
8,817.9389648438,817.8732299805,818.2167358398,797.9838867188,876.4561767578,818.6484375000,817.9389648438,813.0439453125,819.0000000000,816.4898681641,856.4898681641,807.0000000000,816.6848144531,856.6848144531,818.1540527344,817.1601562500,813.7202148438,853.7202148438,815.3999023438,817.1992187500,832.1601562500,852.4633789063
9,817.8063354492,817.7198486328,818.1054077148,797.7443847656,876.1478271484,818.6044921875,817.8063354492,812.2994384766,818.1599731445,816.1641235352,856.1641235352,806.7500000000,816.4187011719,856.4187011719,817.9848632813,816.9301757813,813.0602416992,853.0602416992,814.9498901367,816.9873657227,831.9301757813,852.2713012695
10,817.6820678711,817.5773925781,817.9990844727,797.5048828125,875.8394775391,818.5605468750,817.6820678711,811.5549316406,817.3199462891,815.8383789063,855.8383789063,806.5000000000,816.1525878906,856.1525878906,817.8156738281,816.7001953125,812.4002685547,852.4002685547,814.4998779297,816.7755126953,831.7001953125,852.0792236328
11,817.5594482422,817.4019165039,817.8986816406,797.2453613281,875.5311279297,818.5166015625,817.5594482422,810.8104248047,816.4799194336,815.5126342773,855.5126342773,806.2500000000,815.8864746094,855.8864746094,817.6464843750,816.4702148438,811.7402954102,851.7402954102,814.0498657227,816.5636596680,831.4702148438,851.8871459961
12,817.4368286133,817.2518920898,817.7938842773,796.9858398438,875.2227783203,818.4726562500,817.4368286133,810.0659179688,815.6398925781,815.1868896484,855.1868896484,806.0000000000,815.5937500000,855.5937500000,817.4490966797,816.2402343750,811.0803222656,851.0803222656,813.5998535156,816.3518066406,831.2402343750,851.6950683594
13,817.3142089844,817.1131591797,817.6882934570,796.7263183594,874.9144287109,818.4287109375,817.3142089844,809.3214111328,814.8239135742,814.8611450195,854.8611450195,805.7500000000,815.3010253906,855.3010253906,817.2517089844,816.0102539063,810.4203491211,850.4203491211,813.1498413086,816.1399536133,831.0102539063,851.5029907227
14,817.1915893555,816.9211425781,817.5651855469,796.4667968750,874.5675659180,818.3847656250,817.1915893555,808.5769042969,814.0079345703,814.5354003906,854.5354003906,805.5000000000,815.0083007813,855.0083007813,817.0543212891,815.7802734375,809.7603759766,849.7603759766,812.6998291016,815.9281005859,830.7802734375,851.3109130859
15,817.0689697266,816.7860717773,817.4470825195,796.2072753906,874.2207031250,818.3408203125,817.0689697266,807.8323974609,813.1919555664,814.2096557617,854.2096557617,805.2500000000,814.7155761719,854.7155761719,816.0391235352,815.5502929688,809.1004028320,849.1004028320,812.2498168945,815.7162475586,830.5502929688,851.1188354492
16,816.9463500977,816.6057739258,817.3416748047,795.9477539063,873.9123535156,818.2968750000,816.9463500977,807.0878906250,812.3759765625,813.8839111328,853.8839111328,805.0000000000,813.9703979492,853.9703979492,815.0239257813,815.3203125000,808.4404296875,848.4404296875,811.7998046875,814.9483032227,830.3203125000,850.9267578125
17,816.8237304688,816.4392700195,817.2207031250,795.6882324219,873.6040039063,818.2529296875,816.8237304688,806.9948120117,811.5599975586,813.5773315430,853.5773315430,804.7500000000,813.2252197266,853.2252197266,814.0087280273,815.0903320313,807.7804565430,847.7804565430,811.3497924805,814.1803588867,830.0903320313,850.7346801758
18,816.7011108398,816.2927246094,817.1123046875,795.4287109375,873.2956542969,818.2089843750,816.7011108398,806.9017333984,810.7440185547,813.2707519531,853.2707519531,804.5000000000,812.4800415039,852.4800415039,812.9935302734,814.8603515625,807.1204833984,847.1204833984,810.8997802734,813.4124145508,829.8603515625,850.5426025391
19,816.5784912109,816.1100463867,817.0026245117,795.1691894531,872.9873046875,818.1650390625,816.5784912109,806.8086547852,809.9280395508,812.9641723633,852.9641723633,804.2500000000,811.7348632813,851.7348632813,811.9783325195,814.6303710938,806.4605102539,846.4605102539,810.4497680664,812.6444702148,829.6303710938,850.3505249023
20,816.4558715820,815.9681396484,816.8905029297,794.9096679688,872.6789550781,818.1210937500,816.4558715820,806.7416992188,809.1120605469,812.6575927734,852.6575927734,804.0000000000,810.9896850586,850.9896850586,810.9631347656,814.4003906250,805.8005371094,845.8005371094,809.9997558594,811.8765258789,829.4003906250,850.1584472656
21,816.3230590820,815.8085327148,816.7926025391,794.6502075195,872.3706054688,818.0771484375,816.3230590820,806.6796264648,808.2960815430,812.3510131836,852.3510131836,803.7500000000,810.2445068359,850.2445068359,809.9479370117,814.1704101563,805.1405639648,845.1405639648,809.5497436523,811.1085815430,829.1704101563,849.9663696289
22,816.1902465820,815.6238403320,816.6670532227,794.3907470703,872.0237426758,818.0332031250,816.1902465820,806.6175537109,807.7920532227,812.0252685547,852.0252685547,803.5000000000,809.4993286133,849.4993286133,809.4421997070,813.9404296875,804.4805908203,844.4805908203,809.0997314453,810.3406372070,828.9404296875,849.7742919922
